edge,H0_mean,H0_std,H1_mean,H1_std,n_seeds
0.3,0.0,0.0,0.0,0.0,5
0.5,0.0,0.0,0.0,0.0,5
0.7,399.4,489.1632038491857,0.0,0.0,5
0.9,787.8,7.4404300950953095,5.0,3.3466401061363023,5
1.0,98.0,3.5777087639996634,534.0,24.413111231467404,5
1.2,1.0,0.0,0.0,0.0,5
1.5,1.0,0.0,0.0,0.0,5
2.0,1.0,0.0,0.0,0.0,5
2.5,1.0,0.0,0.0,0.0,5
3.0,1.0,0.0,0.0,0.0,5
