metric,value
seed,789
sigma0.0_beta0.5.b,0.4086478629846452
sigma0.0_beta0.5.r_squared,0.7581566767807166
sigma0.0_beta1.0.b,0.5044481804195164
sigma0.0_beta1.0.r_squared,0.8194972243736651
sigma0.0_beta2.0.b,0.5044481804195164
sigma0.0_beta2.0.r_squared,0.8194972243736651
sigma0.0_beta5.0.b,0.5044481804195164
sigma0.0_beta5.0.r_squared,0.8194972243736651
sigma0.0_beta10.0.b,0.5044481804195164
sigma0.0_beta10.0.r_squared,0.8194972243736651
sigma0.0_beta20.0.b,0.5044481804195164
sigma0.0_beta20.0.r_squared,0.8194972243736651
sigma0.1_beta0.5.b,0.4086478629846452
sigma0.1_beta0.5.r_squared,0.7581566767807166
sigma0.1_beta1.0.b,0.5044481804195164
sigma0.1_beta1.0.r_squared,0.8194972243736651
sigma0.1_beta2.0.b,0.5044481804195164
sigma0.1_beta2.0.r_squared,0.8194972243736651
sigma0.1_beta5.0.b,0.5044481804195164
sigma0.1_beta5.0.r_squared,0.8194972243736651
sigma0.1_beta10.0.b,0.5044481804195164
sigma0.1_beta10.0.r_squared,0.8194972243736651
sigma0.1_beta20.0.b,0.5044481804195164
sigma0.1_beta20.0.r_squared,0.8194972243736651
sigma0.3_beta0.5.b,0.4086478629846452
sigma0.3_beta0.5.r_squared,0.7581566767807166
sigma0.3_beta1.0.b,0.5044481804195164
sigma0.3_beta1.0.r_squared,0.8194972243736651
sigma0.3_beta2.0.b,0.5044481804195164
sigma0.3_beta2.0.r_squared,0.8194972243736651
sigma0.3_beta5.0.b,0.5044481804195164
sigma0.3_beta5.0.r_squared,0.8194972243736651
sigma0.3_beta10.0.b,0.5044481804195164
sigma0.3_beta10.0.r_squared,0.8194972243736651
sigma0.3_beta20.0.b,0.5044481804195164
sigma0.3_beta20.0.r_squared,0.8194972243736651
sigma0.5_beta0.5.b,0.4086478629846452
sigma0.5_beta0.5.r_squared,0.7581566767807166
sigma0.5_beta1.0.b,0.5044481804195164
sigma0.5_beta1.0.r_squared,0.8194972243736651
sigma0.5_beta2.0.b,0.5044481804195164
sigma0.5_beta2.0.r_squared,0.8194972243736651
sigma0.5_beta5.0.b,0.5044481804195164
sigma0.5_beta5.0.r_squared,0.8194972243736651
sigma0.5_beta10.0.b,0.5044481804195164
sigma0.5_beta10.0.r_squared,0.8194972243736651
sigma0.5_beta20.0.b,0.5044481804195164
sigma0.5_beta20.0.r_squared,0.8194972243736651
best_config,sigma0.0_beta1.0
