metric,value
seed,42
sigma0.0_beta0.5.b,0.8228814524931972
sigma0.0_beta0.5.r_squared,0.8676653693511186
sigma0.0_beta1.0.b,1.0731903947749186
sigma0.0_beta1.0.r_squared,0.9639199244854719
sigma0.0_beta2.0.b,1.6216805333664657
sigma0.0_beta2.0.r_squared,0.9971247946492917
sigma0.0_beta5.0.b,1.6216805333664657
sigma0.0_beta5.0.r_squared,0.9971247946492917
sigma0.0_beta10.0.b,1.6216805333664657
sigma0.0_beta10.0.r_squared,0.9971247946492917
sigma0.0_beta20.0.b,1.6216805333664657
sigma0.0_beta20.0.r_squared,0.9971247946492917
sigma0.1_beta0.5.b,0.8228814524931972
sigma0.1_beta0.5.r_squared,0.8676653693511186
sigma0.1_beta1.0.b,1.0731903947749186
sigma0.1_beta1.0.r_squared,0.9639199244854719
sigma0.1_beta2.0.b,1.6216805333664657
sigma0.1_beta2.0.r_squared,0.9971247946492917
sigma0.1_beta5.0.b,1.6216805333664657
sigma0.1_beta5.0.r_squared,0.9971247946492917
sigma0.1_beta10.0.b,1.6216805333664657
sigma0.1_beta10.0.r_squared,0.9971247946492917
sigma0.1_beta20.0.b,1.6216805333664657
sigma0.1_beta20.0.r_squared,0.9971247946492917
sigma0.3_beta0.5.b,0.8228814524931972
sigma0.3_beta0.5.r_squared,0.8676653693511186
sigma0.3_beta1.0.b,1.0731903947749186
sigma0.3_beta1.0.r_squared,0.9639199244854719
sigma0.3_beta2.0.b,1.6216805333664657
sigma0.3_beta2.0.r_squared,0.9971247946492917
sigma0.3_beta5.0.b,1.6216805333664657
sigma0.3_beta5.0.r_squared,0.9971247946492917
sigma0.3_beta10.0.b,1.6216805333664657
sigma0.3_beta10.0.r_squared,0.9971247946492917
sigma0.3_beta20.0.b,1.6216805333664657
sigma0.3_beta20.0.r_squared,0.9971247946492917
sigma0.5_beta0.5.b,0.8228814524931972
sigma0.5_beta0.5.r_squared,0.8676653693511186
sigma0.5_beta1.0.b,1.0731903947749186
sigma0.5_beta1.0.r_squared,0.9639199244854719
sigma0.5_beta2.0.b,1.6216805333664657
sigma0.5_beta2.0.r_squared,0.9971247946492917
sigma0.5_beta5.0.b,1.6216805333664657
sigma0.5_beta5.0.r_squared,0.9971247946492917
sigma0.5_beta10.0.b,1.6216805333664657
sigma0.5_beta10.0.r_squared,0.9971247946492917
sigma0.5_beta20.0.b,1.6216805333664657
sigma0.5_beta20.0.r_squared,0.9971247946492917
best_config,sigma0.0_beta0.5
