metric,value
seed,1024
sigma0.0_beta0.5.b,0.3580819100706186
sigma0.0_beta0.5.r_squared,0.7316256631208058
sigma0.0_beta1.0.b,0.3866540227995341
sigma0.0_beta1.0.r_squared,0.7435535987805836
sigma0.0_beta2.0.b,0.518049698250258
sigma0.0_beta2.0.r_squared,0.8549061292276958
sigma0.0_beta5.0.b,0.518049698250258
sigma0.0_beta5.0.r_squared,0.8549061292276958
sigma0.0_beta10.0.b,0.518049698250258
sigma0.0_beta10.0.r_squared,0.8549061292276958
sigma0.0_beta20.0.b,0.518049698250258
sigma0.0_beta20.0.r_squared,0.8549061292276958
sigma0.1_beta0.5.b,0.3580819100706186
sigma0.1_beta0.5.r_squared,0.7316256631208058
sigma0.1_beta1.0.b,0.3866540227995341
sigma0.1_beta1.0.r_squared,0.7435535987805836
sigma0.1_beta2.0.b,0.518049698250258
sigma0.1_beta2.0.r_squared,0.8549061292276958
sigma0.1_beta5.0.b,0.518049698250258
sigma0.1_beta5.0.r_squared,0.8549061292276958
sigma0.1_beta10.0.b,0.518049698250258
sigma0.1_beta10.0.r_squared,0.8549061292276958
sigma0.1_beta20.0.b,0.518049698250258
sigma0.1_beta20.0.r_squared,0.8549061292276958
sigma0.3_beta0.5.b,0.3580819100706186
sigma0.3_beta0.5.r_squared,0.7316256631208058
sigma0.3_beta1.0.b,0.3866540227995341
sigma0.3_beta1.0.r_squared,0.7435535987805836
sigma0.3_beta2.0.b,0.518049698250258
sigma0.3_beta2.0.r_squared,0.8549061292276958
sigma0.3_beta5.0.b,0.518049698250258
sigma0.3_beta5.0.r_squared,0.8549061292276958
sigma0.3_beta10.0.b,0.518049698250258
sigma0.3_beta10.0.r_squared,0.8549061292276958
sigma0.3_beta20.0.b,0.518049698250258
sigma0.3_beta20.0.r_squared,0.8549061292276958
sigma0.5_beta0.5.b,0.3580819100706186
sigma0.5_beta0.5.r_squared,0.7316256631208058
sigma0.5_beta1.0.b,0.3866540227995341
sigma0.5_beta1.0.r_squared,0.7435535987805836
sigma0.5_beta2.0.b,0.518049698250258
sigma0.5_beta2.0.r_squared,0.8549061292276958
sigma0.5_beta5.0.b,0.518049698250258
sigma0.5_beta5.0.r_squared,0.8549061292276958
sigma0.5_beta10.0.b,0.518049698250258
sigma0.5_beta10.0.r_squared,0.8549061292276958
sigma0.5_beta20.0.b,0.518049698250258
sigma0.5_beta20.0.r_squared,0.8549061292276958
best_config,sigma0.0_beta2.0
