metric,value
seed,1024
hide_retrieval.i2t_r1,0.206
hide_retrieval.i2t_r5,0.47
hide_retrieval.i2t_r10,0.592
hide_retrieval.i2t_median_rank,7.0
hide_retrieval.t2i_r1,0.232
hide_retrieval.t2i_r5,0.478
hide_retrieval.t2i_r10,0.618
hide_retrieval.t2i_median_rank,6.0
random_baseline.i2t_r1,0.002
random_baseline.i2t_r5,0.012
random_baseline.i2t_r10,0.026
random_baseline.t2i_r1,0.0
random_baseline.t2i_r5,0.01
random_baseline.t2i_r10,0.014
transfer.r1,0.22
transfer.r5,0.47
transfer.r10,0.63
n_coco_train,2000
n_flickr_test,500
