metric,value
seed,456
hide_retrieval.i2t_r1,0.222
hide_retrieval.i2t_r5,0.472
hide_retrieval.i2t_r10,0.6
hide_retrieval.i2t_median_rank,6.0
hide_retrieval.t2i_r1,0.23
hide_retrieval.t2i_r5,0.504
hide_retrieval.t2i_r10,0.622
hide_retrieval.t2i_median_rank,5.0
random_baseline.i2t_r1,0.002
random_baseline.i2t_r5,0.008
random_baseline.i2t_r10,0.022
random_baseline.t2i_r1,0.004
random_baseline.t2i_r5,0.012
random_baseline.t2i_r10,0.024
transfer.r1,0.22
transfer.r5,0.48
transfer.r10,0.68
n_coco_train,2000
n_flickr_test,500
