metric,value
seed,789
hide_retrieval.i2t_r1,0.194
hide_retrieval.i2t_r5,0.458
hide_retrieval.i2t_r10,0.594
hide_retrieval.i2t_median_rank,7.0
hide_retrieval.t2i_r1,0.232
hide_retrieval.t2i_r5,0.486
hide_retrieval.t2i_r10,0.61
hide_retrieval.t2i_median_rank,6.0
random_baseline.i2t_r1,0.0
random_baseline.i2t_r5,0.006
random_baseline.i2t_r10,0.024
random_baseline.t2i_r1,0.0
random_baseline.t2i_r5,0.014
random_baseline.t2i_r10,0.024
transfer.r1,0.22
transfer.r5,0.5
transfer.r10,0.69
n_coco_train,2000
n_flickr_test,500
