metric,value
seeds,"[42, 123, 456, 789, 1024]"
n_seeds,5
hide_retrieval.i2t_r1.mean,0.2032
hide_retrieval.i2t_r1.std,0.01312097557348538
hide_retrieval.i2t_r1.ci_lower,0.192
hide_retrieval.i2t_r1.ci_upper,0.21400000000000002
hide_retrieval.i2t_r5.mean,0.4704
hide_retrieval.i2t_r5.std,0.006740919818541072
hide_retrieval.i2t_r5.ci_lower,0.46399999999999997
hide_retrieval.i2t_r5.ci_upper,0.4756
hide_retrieval.i2t_r10.mean,0.6016
hide_retrieval.i2t_r10.std,0.008333066662399871
hide_retrieval.i2t_r10.ci_lower,0.5944
hide_retrieval.i2t_r10.ci_upper,0.6088
hide_retrieval.t2i_r1.mean,0.23120000000000002
hide_retrieval.t2i_r1.std,0.000979795897113272
hide_retrieval.t2i_r1.ci_lower,0.23040000000000002
hide_retrieval.t2i_r1.ci_upper,0.23200000000000004
hide_retrieval.t2i_r5.mean,0.49239999999999995
hide_retrieval.t2i_r5.std,0.009748846085563161
hide_retrieval.t2i_r5.ci_lower,0.484
hide_retrieval.t2i_r5.ci_upper,0.5007999999999999
hide_retrieval.t2i_r10.mean,0.6195999999999999
hide_retrieval.t2i_r10.std,0.005425863986500219
hide_retrieval.t2i_r10.ci_lower,0.6148
hide_retrieval.t2i_r10.ci_upper,0.6235999999999999
random_baseline.i2t_r1.mean,0.0012000000000000001
random_baseline.i2t_r1.std,0.0009797958971132711
random_baseline.i2t_r1.ci_lower,0.0004
random_baseline.i2t_r1.ci_upper,0.002
random_baseline.i2t_r5.mean,0.007200000000000001
random_baseline.i2t_r5.std,0.002712931993250107
random_baseline.i2t_r5.ci_lower,0.0052
random_baseline.i2t_r5.ci_upper,0.009600000000000001
random_baseline.i2t_r10.mean,0.017599999999999998
random_baseline.i2t_r10.std,0.007939773296511682
random_baseline.i2t_r10.ci_lower,0.0108
random_baseline.i2t_r10.ci_upper,0.024399999999999998
random_baseline.t2i_r1.mean,0.002
random_baseline.t2i_r1.std,0.0017888543819998318
random_baseline.t2i_r1.ci_lower,0.0004
random_baseline.t2i_r1.ci_upper,0.0036000000000000003
random_baseline.t2i_r5.mean,0.011600000000000001
random_baseline.t2i_r5.std,0.00463033476111609
random_baseline.t2i_r5.ci_lower,0.0076
random_baseline.t2i_r5.ci_upper,0.0152
random_baseline.t2i_r10.mean,0.0208
random_baseline.t2i_r10.std,0.0078587530817554
random_baseline.t2i_r10.ci_lower,0.0144
random_baseline.t2i_r10.ci_upper,0.027200000000000002
transfer.r1.mean,0.21000000000000002
transfer.r1.std,0.012649110640673514
transfer.r5.mean,0.49800000000000005
transfer.r5.std,0.02400000000000002
transfer.r10.mean,0.67
transfer.r10.std,0.026076809620810576
validation.hide_beats_random,True
validation.positive_transfer,True
