metric,value
seed,123
hide_retrieval.i2t_r1,0.21
hide_retrieval.i2t_r5,0.478
hide_retrieval.i2t_r10,0.608
hide_retrieval.i2t_median_rank,6.0
hide_retrieval.t2i_r1,0.232
hide_retrieval.t2i_r5,0.502
hide_retrieval.t2i_r10,0.622
hide_retrieval.t2i_median_rank,5.0
random_baseline.i2t_r1,0.002
random_baseline.i2t_r5,0.006
random_baseline.i2t_r10,0.008
random_baseline.t2i_r1,0.002
random_baseline.t2i_r5,0.004
random_baseline.t2i_r10,0.01
transfer.r1,0.2
transfer.r5,0.54
transfer.r10,0.65
n_coco_train,2000
n_flickr_test,500
