metric,value
seed,42
hide_retrieval.i2t_r1,0.184
hide_retrieval.i2t_r5,0.474
hide_retrieval.i2t_r10,0.614
hide_retrieval.i2t_median_rank,6.0
hide_retrieval.t2i_r1,0.23
hide_retrieval.t2i_r5,0.492
hide_retrieval.t2i_r10,0.626
hide_retrieval.t2i_median_rank,6.0
random_baseline.i2t_r1,0.0
random_baseline.i2t_r5,0.004
random_baseline.i2t_r10,0.008
random_baseline.t2i_r1,0.004
random_baseline.t2i_r5,0.018
random_baseline.t2i_r10,0.032
transfer.r1,0.19
transfer.r5,0.5
transfer.r10,0.7
n_coco_train,2000
n_flickr_test,500
